year,clusterName,totalSales
2023,Vidcall Pasangan Senior,450000
2024,Konseling Instan,197900000
2024,Call 60 Senior,138433600
2024,Vidcall 60 Senior,119626000
2024,Text 60 Senior,92820000
2024,Call 60 Junior,64074400
2024,Call 90 Senior,32850000
2024,Vidcall 60 Junior,24980000
2024,Text 60 Junior,22725000
2024,Vidcall 90 Senior,22087500
2024,Psikolog Riliv,19756000
2024,Text 90 Senior,16541000
2024,Vidcall Pasangan Senior,14172000
2024,Vidcall 90 Junior,6448000
2024,Call 90 Junior,5606400
2024,Text 90 Junior,4520280
2024,Call Pasangan Senior,3375000
2024,Call Pasangan Junior,720000
2024,Vidcall Pasangan Junior,360000
2025,Konseling Instan,147950000
2025,Call 60 Senior,134567200
2025,Vidcall 60 Senior,108102000
2025,Text 60 Senior,92850000
2025,Call 60 Junior,46699200
2025,Call 90 Senior,44009500
2025,Vidcall 60 Junior,38211000
2025,Vidcall 90 Senior,22630000
2025,Text 60 Junior,21623000
2025,Text 90 Senior,18695500
2025,Psikolog Riliv,14883000
2025,Vidcall Pasangan Senior,9186000
2025,Call Pasangan Senior,4500000
2025,Call 90 Junior,4117200
2025,Text 90 Junior,3780800
2025,Vidcall 90 Junior,3038000